소속,직위,성명,본인과의 관계,재산 구분,재산의 종류,소재지 면적 등 권리의 명세,종전가액(천원),증가액(천원),감소액(천원),현재가액(천원),변동사유
국회,국회부의장,이학영,본인,예금,,"DB손해보험(주) 17,397(1,968 증가), 농협은행 86,468(74,912 증가), 농협중앙회 0(40,000 감소), 메리츠종금증권 1,470(1,470 증가), 상호저축은행중앙회 50,000, 새마을금고중앙회 87,920(19,025 증가), 스탠다드차타드은행 24, 신용협동조합중앙회 850(29 증가), 신한은행 69,170(30,644 증가), 현대해상화재보험 401(166 증가)","225,486","242,752","154,538","313,700",급여저축 등
국회,국회부의장,이학영,배우자,예금,,"DB손해보험(주) 3,633(120 증가), 교보생명보험 143,211, 농협손해보험 4,500(1,200 증가), 농협은행 0(1,006 감소), 농협중앙회 33,007(12,392 증가), 삼성생명보험 11,868, 상호저축은행중앙회 50,000(3,000 증가), 새마을금고중앙회 150,470(7,218 증가), 신용협동조합중앙회 47,126(53 감소), 신한은행 3, 현대해상화재보험 5,545(1,562 증가)","424,930","231,106","206,673","449,363",
국회,국회부의장,이학영,본인,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,,"농협은행 158,376(24,288 증가)","134,088","24,288",0,"158,376",후원금 증가
국회,국회부의장,이학영,본인,채무,,사인간채무 감소,"35,000",0,"35,000",0,급여 등으로 상환
국회,국회부의장,이학영,본인,채무,금융채무,"농협은행 0(50,000 감소)","50,000",0,"50,000",0,급여 등으로 상환
국회,국회부의장,이학영,배우자,채무,건물임대채무,경기도 군포시 금정동 명산빌딩 임대보증금,"20,000",0,0,"20,000",
국회,국회부의장,이학영,총 계,채무,,,"1,700,736","502,520","299,916","1,903,340","증감액: 202,604천원 (가액변동: -6,852천원)"
국회,국회부의장,주호영,본인,토지,대지,경상북도 울진군 울진읍 읍남리 851번지 294.00㎡,"7,027",58,0,"7,085",가액변동
국회,국회부의장,주호영,본인,토지,대지,경상북도 울진군 울진읍 읍남리 852번지 0.00㎡ (582.00㎡ 감소),"13,386",0,"13,386",0,지번확인 후 반영
국회,국회부의장,주호영,본인,토지,전,경상북도 울진군 울진읍 읍남리 861-1번지 436.00㎡,"5,145",43,0,"5,188",가액변동
국회,국회부의장,주호영,본인,건물,아파트,서울특별시 서초구 반포동 반포아파트 건물 140.33㎡ 중 93.55㎡,"2,275,848","560,818",0,"2,836,666",재건축 진행 중
국회,국회부의장,주호영,본인,건물,아파트(전세(임 차)권),대구광역시 수성구 노변동 수성 월드메르디앙 건물 84.80㎡,"270,000",0,0,"270,000",변동없음
국회,국회부의장,주호영,본인,건물,단독주택,"경상북도 울진군 울진읍 읍내리 대지 0.00㎡ 건물 0.00㎡ (대지 207.00㎡ 감소, 건물 93.96㎡ 감소)","16,509",0,"16,509",0,지번확인 후 반영
국회,국회부의장,주호영,본인,건물,사무실(전세(임 차)권),대구광역시 수성구 만촌동 2층 대지 646.00㎡ 건물 273.15㎡,"50,000",0,0,"50,000",변동없음
국회,국회부의장,주호영,본인,건물,복합건물(주택+ 상가),"경상북도 울진군 울진읍 읍남리 대지 582.00㎡ 건물 57.40㎡ (대지 582.00㎡ 증가, 건물 57.40㎡ 증가)",0,"14,963",0,"14,963",지번확인 후 반영
국회,국회부의장,주호영,배우자,건물,아파트,서울특별시 서초구 반포동 반포아파트 건물 140.33㎡ 중 46.78㎡,"1,138,076","280,258",0,"1,418,334",재건축 진행 중
국회,국회부의장,주호영,배우자,건물,아파트(전세(임 차)권),서울특별시 용산구 한강로1가 대우월드마크용산 건물 114.68㎡,"900,000",0,0,"900,000",변동없음
국회,국회부의장,주호영,본인,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2023년식 g80 배기량(2,500cc)","48,600","4,395",0,"52,995",가액변동
국회,국회부의장,주호영,본인,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2019년식 카니발 배기량(3,500cc)","13,505",435,0,"13,940",가액변동
국회,국회부의장,주호영,배우자,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2023년식 g80 배기량(2,500cc)",490,45,0,535,가액변동
국회,국회부의장,주호영,본인,현금,,현금,"22,000",0,0,"22,000",변동없음
국회,국회부의장,주호영,본인,예금,,"(주)KEB하나은행 4,791, NH투자증권 3, 국민은행 11,794(221 증가), 농협은행 41,994(15,216 감소), 미래에셋증권 21(1 증가), 삼성생명보험 91,974, 새마을금고중앙회 8,259(155 증가), 스탠다드차타드은행 356, 신용협동조합중앙회 2,733(87 증가), 신한은행 544(1 증가), 아이엠뱅크 4(4 증가)","177,220","1,531","16,278","162,473",급여저축
국회,국회부의장,주호영,배우자,예금,,"AIA생명보험주식회사 7,990(430 증가), 농협은행 64, 미래에셋증권 5, 삼성생명보험 15,030, 신한은행 226,972(68,133 증가), 우리은행 0(100 감소), 하나증권 0(10 감소)","181,608","68,563",110,"250,061",
국회,국회부의장,주호영,본인,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,,"아이엠뱅크 156,410(143,973 증가)","12,437","143,973",0,"156,410",정치후원금액 증가
국회,국회부의장,주호영,배우자,채무,,사인간채무,"200,000",0,0,"200,000",변동없음
국회,국회부의장,주호영,배우자,채무,금융채무,"농협은행 730,000","730,000",0,0,"730,000",변동없음
국회,국회부의장,주호영,모,고지거부 및 등록제외사항,,고지거부,0,0,0,0,독립생계유지
국회,국회부의장,주호영,장남,고지거부 및 등록제외사항,,고지거부,0,0,0,0,독립생계유지
국회,국회부의장,주호영,차남,고지거부 및 등록제외사항,,고지거부,0,0,0,0,독립생계유지
국회,국회부의장,주호영,총 계,고지거부 및 등록제외사항,,,"4,201,851","1,075,082","46,283","5,230,650","증감액: 1,028,799천원 (가액변동: 846,052천원)"
국회,국회의원,강경숙,본인,건물,복합건물(주택+ 상가),서울특별시 은평구 녹번동 대지 136.00㎡ 중 21.76㎡ 건물 318.66㎡ 중 50.98㎡,"139,524","1,946",0,"141,470",
국회,국회의원,강경숙,본인,건물,아파트(전세(임 차)권),서울특별시 은평구 응암동 녹번역e편한세상캐슬 건물 84.97㎡,"730,000","44,000",0,"774,000",
국회,국회의원,강경숙,본인,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2008년식 sm 배기량(1,596cc) 감소","1,700",0,"1,700",0,
국회,국회의원,강경숙,본인,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,자동차,"2016년식 쏘나타 배기량(1,999cc)","6,330",0,"1,170","5,160",
국회,국회의원,강경숙,본인,예금,,"(주)KB손해보험 32,646(3,369 증가), (주)KEB하나은행 1, (주)카카오페이증권 0(101 감소), 국민은행 5,139(3,394 증가), 농협은행 7,954(2,402 증가), 에이비엘생명보험 0(6,528 감소), 우리은행 0(2,009 감소), 한국교직원공제회 91,309(25,691 감소), 한화생명보험주식회사 9,620, 한화손해보험 44,305(2,970 증가)","213,168","12,135","34,329","190,974",급여저축 등
국회,국회의원,강경숙,배우자,예금,,"(주)KB손해보험 12,902(220 증가), DB금융투자 74,477(12,631 증가), DB손해보험(주) 0(1,044 감소), 농협은행 6,000, 미래에셋증권 256,942(163,111 증가), 삼성생명보험 21,463, 상호저축은행중앙회 0(50,000 감소), 새마을금고중앙회 11,781(1,229 증가), 신한은행 294(294 증가), 한국투자증권 266,696(135,170 증가)","388,944","384,521","122,910","650,555",급여저축 등
국회,국회의원,강경숙,모,예금,,"MG손해보험(주) 0(9,450 감소), 농협은행 196(1 증가), 새마을금고중앙회 10, 에이비엘생명보험 0(7,843 감소), 예별손해보험 9,990(9,990 증가), 우리은행 60,225(31,143 증가), 한화손해보험 4,600(600 증가)","50,580","41,734","17,293","75,021",
국회,국회의원,강경숙,본인,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,,"농협은행 57,088(18,132 증가)","38,956","18,132",0,"57,088",후원금 증가
국회,국회의원,강경숙,본인,증권,비상장주식,"주식회사 엠디헬스케어 1,000주, 주식회사 한국교육평가진흥원 4,500주","5,000",0,0,"5,000","매도, 매수 등"
국회,국회의원,강경숙,배우자,증권,상장주식,"GE베르노바 3주(3주 증가), SK하이닉스 14주(14주 증가), TSMC(ADR) 4주(4주 증가), 나이키B 10주(10주 증가), 두산 4주(4주 증가), 두산로보틱스 10주(10주 증가), 두산에너빌리티 65주(65주 증가), 로빈훗마케츠 15주(15주 증가), 루멘텀홀딩스 2주(2주 증가), 마이크론테크놀로지 10주(10주 증가), 머크 17주(17주 증가), 브로드컴 5주(5주 증가), 브이엠 17주(17주 증가), 빅토리어스시크릿앤드컴퍼니 10주(10주 증가), 삼성전자 95주(95주 증가), 세미파이브 11주(11주 증가), 슈어소프트테크 68주(68주 증가), 시스코시스템즈 25주(25주 증가), 시에나 9주(9주 증가), 씨엠티엑스 5주(5주 증가), 아마존닷컴 6주(6주 증가), 알파벳C","2,187","85,054","2,177","85,064",
국회,국회의원,강경숙,배우자,증권,상장주식,"11주(11주 증가), 암페놀 11주(11주 증가), 에스티로더 8주(8주 증가), 에이비엘바이오 2주(2주 증가), 엔비디아 14.05242주(14주 증가), 주성코퍼레이션 0주(531주 감소), 코닝 20주(20주 증가), 코리아써키트 12주(12주 증가), 코오롱티슈진 4주(4주 증가), 코히어런트 13주(13주 증가), 테슬라 4주(4주 증가), 한라캐스트 27주(27주 증가), 한미약품 1주(1주 증가), 해성디에스 7주(7주 증가), 현대건설 17주(17주 증가), 현대로템 4주(4주 증가), 현대차 7주(7주 증가)","2,187","85,054","2,177","85,064",매도.매수 등
국회,국회의원,강경숙,배우자,증권,국채,국고01500-5003(20-2) 0주,"14,336",0,"14,336",0,
국회,국회의원,강경숙,배우자,증권,기타(채권),"제이와이제일차20241218-62-1(단) 0주(281,829,264주 감소), T4.62505/15/54 32,900주(32,900주 증가), 환매체 0주","281,037","49,941","281,037","49,941",
